ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0132,Operable,Otoe,Missouria,,,,,,,,,,,,,,,,,,,"Fort Atkinson, Council Bluffs",MI,09-26-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/oto0256.htm,
V0133,Operable,Pawnee,,,,,,,,,,,,,,,,,,,,"Fort Atkinson, Council Bluffs",MI,09-30-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/paw0258.htm,
V0134,Operable,Omaha,,,,,,,,,,,,,,,,,,,,"Fort Atkinson, Council Bluffs",MI,10-06-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/mak0260.htm,
V0135,Operable,Shawnee,,,,,,,,,,,,,,,,,,,,St Louis,MO,11-07-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/sha0262.htm,
V0136,Operable,Creek,,,,,,,,,,,,,,,,,,,,Washington DC,DC,01-24-1826,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0264.htm,
V0137,Operable,Chippewa,,,,,,,,,,,,,,,,,,,,Fond du Lac of Lake Superior,MI,08-05-1826,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0268.htm,
V0139,Operable,Potawatomi,,,,,,,,,,,,,,,,,,,,Mississinewa and Wabash Rivers,IN,10-16-1826,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0273.htm,
V0140,Operable,Miami,,,,,,,,,,,,,,,,,,,,Mississinewa and Wabash Rivers,IN,10-23-1826,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/mia0278.htm,
V0141,Operable,Chippewa,Menominee,Winnebago,,,,,,,,,,,,,,,,,,"Butte des Morts, on Fox River",MI,08-11-1827,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/chi0281.htm,
V0142,Operable,Potawatomi,,,,,,,,,,,,,,,,,,,,St. Joseph,MI,09-19-1827,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0283.htm,
V0143,Operable,Creek,,,,,,,,,,,,,,,,,,,,Creek Agency,GA,11-15-1827,190,http://digital.library.okstate.edu/kappler/Vol2/treaties/cre0284.htm,
